LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
33.47381,-112.08899,2020,3,1,41.2,14.53,3.95,3.87,8.37,22.9,1.65
33.47381,-112.08899,2020,3,2,50.94,11.21,3.68,3.86,7.75,18.96,3.37
33.47381,-112.08899,2020,3,3,41.83,16.64,5.48,9.99,7.33,23.97,1.77
33.47381,-112.08899,2020,3,4,52.68,16.42,2.64,4.77,6.39,22.82,4.96
33.47381,-112.08899,2020,3,5,39.51,18.52,4.08,9.08,9.2,27.71,4.14
33.47381,-112.08899,2020,3,6,34.88,15.47,6.08,8.7,13.69,29.16,3.91
33.47381,-112.08899,2020,3,7,38.61,15.44,5.38,5.76,11.89,27.33,4.21
33.47381,-112.08899,2020,3,8,44.39,11.82,4.78,5.14,11.74,23.57,4.49
33.47381,-112.08899,2020,3,9,42.57,12.91,3.1,5.46,10.71,23.62,3.9
33.47381,-112.08899,2020,3,10,59.72,13.29,1.66,2.63,12.83,26.11,10.35
33.47381,-112.08899,2020,3,11,78.05,8.46,3.6,5.75,14.61,23.07,14.35
33.47381,-112.08899,2020,3,12,83.2,6.7,4.31,6.11,13.73,20.43,14.13
33.47381,-112.08899,2020,3,13,67.51,10.93,4.11,6.45,9.05,19.98,8.53
33.47381,-112.08899,2020,3,14,62.74,13.97,1.86,1.9,8.33,22.3,8.16
33.47381,-112.08899,2020,3,15,53.65,12.93,3.2,4.37,11.96,24.89,7.86
33.47381,-112.08899,2020,3,16,52.03,14.34,4.45,7.47,11.23,25.58,7.43
33.47381,-112.08899,2020,3,17,54.38,11.26,3.66,4.37,11.66,22.92,7.1
33.47381,-112.08899,2020,3,18,72.41,8.73,6.49,7.3,9.01,17.74,8.13
33.47381,-112.08899,2020,3,19,57.58,11.34,3.75,6.46,6.96,18.3,4.27
33.47381,-112.08899,2020,3,20,49.44,13.83,1.59,2.77,7.08,20.91,3.48
33.47381,-112.08899,2020,3,21,45.54,13.03,3.95,4.69,9.96,22.99,3.96
33.47381,-112.08899,2020,3,22,44.48,10.67,1.71,2.74,11.34,22.01,4.16
33.47381,-112.08899,2020,3,23,48.81,13.35,5.55,5.41,10.5,23.85,6
33.47381,-112.08899,2020,3,24,40.98,14.05,2.17,3.71,11.09,25.13,4.03
33.47381,-112.08899,2020,3,25,41.96,14.52,4.47,5.11,11.42,25.93,4.63
33.47381,-112.08899,2020,3,26,45.86,12.75,3.04,3.99,8.33,21.08,2.98
33.47381,-112.08899,2020,3,27,50.6,10.3,4.25,3.62,5.57,15.87,0.69
