LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
34.17651,-118.32919,2020,3,1,74.37,8.25,5.72,5.68,5.65,13.9,5.41
34.17651,-118.32919,2020,3,2,48.29,12.03,6.97,7.09,5.12,17.15,-0.1
34.17651,-118.32919,2020,3,3,39.29,16.45,6.44,9.07,7.03,23.48,1.06
34.17651,-118.32919,2020,3,4,54.62,12.47,2.32,2.1,9.86,22.33,5.9
34.17651,-118.32919,2020,3,5,50.72,14.01,1.79,2.44,9.66,23.67,6.14
34.17651,-118.32919,2020,3,6,60.04,12.76,3.67,3.26,9.39,22.15,7.63
34.17651,-118.32919,2020,3,7,80.33,6.26,4.24,4.01,7.93,14.19,7.01
34.17651,-118.32919,2020,3,8,71.13,8.38,4.83,4.93,7.16,15.53,5.25
34.17651,-118.32919,2020,3,9,69.16,11.16,2.44,4.31,7.05,18.21,6.52
34.17651,-118.32919,2020,3,10,86.53,7.4,5.1,5.72,9.92,17.32,10.37
34.17651,-118.32919,2020,3,11,78.99,9.09,2.29,2.07,9.66,18.74,9.93
34.17651,-118.32919,2020,3,12,84.5,6.33,1.88,2.74,9.8,16.13,9.69
34.17651,-118.32919,2020,3,13,86.81,5.63,4.18,4.22,8.69,14.31,8.77
34.17651,-118.32919,2020,3,14,85.33,4.78,3.21,2.87,9.61,14.38,8.85
34.17651,-118.32919,2020,3,15,79.37,6.43,3.42,2.65,8.12,14.55,7.07
34.17651,-118.32919,2020,3,16,85.4,8.1,7.19,7.85,5.27,13.37,7.13
34.17651,-118.32919,2020,3,17,68.96,7.72,2.92,2.99,4.26,11.97,2.21
34.17651,-118.32919,2020,3,18,60.64,12.64,4.69,5.27,3.35,15.99,1.82
34.17651,-118.32919,2020,3,19,82.98,6.63,5.6,5.74,5.09,11.71,5.39
34.17651,-118.32919,2020,3,20,78.1,7.76,2.92,2.89,6.61,14.37,6.57
34.17651,-118.32919,2020,3,21,73.45,9.29,3.81,3.61,7.47,16.76,6.85
34.17651,-118.32919,2020,3,22,81.5,8.67,3.69,3.85,7.61,16.28,8.24
34.17651,-118.32919,2020,3,23,79.09,8.53,4.24,4.2,7.4,15.93,7.78
34.17651,-118.32919,2020,3,24,78.69,7.7,4.57,4.84,7.64,15.34,7.44
34.17651,-118.32919,2020,3,25,77.45,9.45,5.41,5.77,4.83,14.27,5.47
34.17651,-118.32919,2020,3,26,66.81,10.85,4.56,4.36,2.62,13.48,1.65
34.17651,-118.32919,2020,3,27,63.73,13.85,4.83,5.6,1.63,15.47,2.02
34.17651,-118.32919,2020,3,28,71,11.48,3.36,4.11,4.16,15.64,5.02
34.17651,-118.32919,2020,3,29,74.71,10.3,5.27,5.78,5.71,16.01,6.47
34.17651,-118.32919,2020,3,30,64.35,15.87,3.57,3.85,5.48,21.35,6.3
34.17651,-118.32919,2020,3,31,62.46,13.88,3.28,4.95,8.6,22.47,7.84
34.17651,-118.32919,2020,4,1,66.44,11.82,3.88,4.41,10.17,21.99,9
34.17651,-118.32919,2020,4,2,62.09,12.21,3.33,3.36,7.69,19.9,5.8
34.17651,-118.32919,2020,4,3,57.48,15.09,3.73,3.46,4.96,20.05,3.91
34.17651,-118.32919,2020,4,4,75.31,10.19,4.19,4.42,8.07,18.26,8.07
34.17651,-118.32919,2020,4,5,83.19,5.51,3.87,4.75,9.1,14.61,8.39
34.17651,-118.32919,2020,4,6,84.64,6.09,6.57,8.17,7.3,13.39,7.79
34.17651,-118.32919,2020,4,7,74.88,11.14,2.28,2.53,5.47,16.6,6.51
34.17651,-118.32919,2020,4,8,80.71,3.91,3.7,3.88,7.12,11.04,5.5
34.17651,-118.32919,2020,4,9,87.78,3.62,1.89,1.67,6.32,9.94,6.06
34.17651,-118.32919,2020,4,10,79.48,7.35,4.33,4.44,6.18,13.53,6.13
34.17651,-118.32919,2020,4,11,72.26,14.96,4.44,5.19,5.85,20.82,8.21
34.17651,-118.32919,2020,4,12,86.2,5.73,2.83,2.58,10.17,15.9,9.87
34.17651,-118.32919,2020,4,13,76.67,9.89,3.71,3.74,9.71,19.6,9.31
34.17651,-118.32919,2020,4,14,49.97,15.51,5.42,6.35,6.82,22.33,4.27
34.17651,-118.32919,2020,4,15,54.59,15.54,5.07,5.89,8.67,24.21,6.94
34.17651,-118.32919,2020,4,16,69.25,11.86,3.56,3.16,9.85,21.71,9.27
34.17651,-118.32919,2020,4,17,74.05,8.3,3.01,2.58,9.36,17.66,8.15
34.17651,-118.32919,2020,4,18,78.64,7.41,3.33,3.3,10.03,17.44,9.31
34.17651,-118.32919,2020,4,19,76.57,9.46,4.16,4.78,10.06,19.52,9.62
34.17651,-118.32919,2020,4,20,76.92,9.97,4.34,4.05,9.45,19.42,9.75
34.17651,-118.32919,2020,4,21,70.77,12.92,3.05,2.28,8.9,21.82,9.48
34.17651,-118.32919,2020,4,22,56.25,17.18,3.32,5.41,10.07,27.25,9.45
34.17651,-118.32919,2020,4,23,57.25,15.85,2.97,3.84,13.18,29.02,11.5
34.17651,-118.32919,2020,4,24,45.44,17.53,5.24,8.33,14.22,31.75,9.86
34.17651,-118.32919,2020,4,25,49.31,15.62,3.27,6.02,14.67,30.29,11.16
34.17651,-118.32919,2020,4,26,50.52,13.12,3.56,3.86,15.72,28.84,10.9
34.17651,-118.32919,2020,4,27,52.25,15.89,2.06,3.48,12.41,28.3,9.71
34.17651,-118.32919,2020,4,28,51.18,16.75,3.32,4.24,13.43,30.18,11.02
34.17651,-118.32919,2020,4,29,55.08,12.89,4.49,4.38,15.8,28.69,11.64
34.17651,-118.32919,2020,4,30,55.73,13.08,4.61,5.38,13.96,27.04,10.91
34.17651,-118.32919,2020,5,1,51.36,14.79,3.78,3.36,11.04,25.83,7.93
34.17651,-118.32919,2020,5,2,54.29,14.64,5.53,5.55,10.99,25.63,8.51
34.17651,-118.32919,2020,5,3,59.73,14.67,4.43,4.08,10.32,24.99,9.41
34.17651,-118.32919,2020,5,4,43.37,19.22,4.15,5.85,9.52,28.74,6.17
34.17651,-118.32919,2020,5,5,37.73,18.1,3.5,6.36,12.95,31.05,6.66
34.17651,-118.32919,2020,5,6,38.22,18.27,3.22,5.82,13.74,32.01,7.17
34.17651,-118.32919,2020,5,7,39.27,17.19,4.05,6.19,14.84,32.03,8.27
34.17651,-118.32919,2020,5,8,44.39,13.15,3.33,3.05,16.53,29.68,9.33
34.17651,-118.32919,2020,5,9,50.73,11.18,4.42,4.52,15.33,26.51,9.79
34.17651,-118.32919,2020,5,10,54.22,13.22,5.62,5.58,11.14,24.36,8.38
34.17651,-118.32919,2020,5,11,62.76,12.18,5.23,5.19,10.3,22.48,8.41
34.17651,-118.32919,2020,5,12,70.17,9.81,7.3,7.74,10.19,20,9.4
34.17651,-118.32919,2020,5,13,59.03,13.29,4.37,3.96,9.19,22.48,7.56
34.17651,-118.32919,2020,5,14,58.41,13.98,3.91,4.04,10.51,24.49,9.25
34.17651,-118.32919,2020,5,15,56.85,14.91,3.26,3.88,11.56,26.47,9.84
34.17651,-118.32919,2020,5,16,53.97,15.7,4.6,4.91,11.98,27.68,9.89
34.17651,-118.32919,2020,5,17,62.65,12.42,5.14,5.41,12.28,24.7,10.94
34.17651,-118.32919,2020,5,18,75.53,10.14,5.78,5.56,10.6,20.74,11.21
34.17651,-118.32919,2020,5,19,60.13,11.86,4.18,3.67,8.01,19.86,6.44
34.17651,-118.32919,2020,5,20,54.24,15.06,3.42,2.81,8.63,23.69,6.93
34.17651,-118.32919,2020,5,21,46.35,17.56,4.68,5.48,9.62,27.18,7.02
34.17651,-118.32919,2020,5,22,58.12,12.74,5.6,6.21,11.86,24.6,9.44
34.17651,-118.32919,2020,5,23,50.15,14.2,3.15,3.72,10.52,24.72,6.91
34.17651,-118.32919,2020,5,24,45.38,17.88,3.14,2.96,10.2,28.07,7.23
34.17651,-118.32919,2020,5,25,39.42,17.12,3,4.13,13.64,30.76,7.97
34.17651,-118.32919,2020,5,26,40.66,16.23,4.02,4.68,15.69,31.92,9.65
34.17651,-118.32919,2020,5,27,44.91,14.26,4.29,4.46,17.29,31.55,10.97
34.17651,-118.32919,2020,5,28,49.58,13.24,4.24,4.05,16.25,29.49,10.98
34.17651,-118.32919,2020,5,29,63.12,12.43,5.44,5.41,12.82,25.25,11.56
34.17651,-118.32919,2020,5,30,64.33,12,5.36,5.22,10.92,22.92,9.72
34.17651,-118.32919,2020,5,31,58.79,13.6,4.13,4.3,11.29,24.9,9.8
34.17651,-118.32919,2020,6,1,46.3,13.74,4.44,4.84,15.09,28.83,9.52
34.17651,-118.32919,2020,6,2,48.46,13.14,3.22,3.03,15.89,29.03,10.81
34.17651,-118.32919,2020,6,3,40.59,15.76,4.5,5.64,18.8,34.56,11.35
34.17651,-118.32919,2020,6,4,53.59,13.57,4.88,4.8,15.48,29.05,12.05
34.17651,-118.32919,2020,6,5,73.19,8.36,4.58,4.63,14.23,22.59,12.74
34.17651,-118.32919,2020,6,6,64.01,9.12,3.66,2.68,13.15,22.26,10.29
34.17651,-118.32919,2020,6,7,41.52,13.82,4.28,5.31,9.66,23.48,3.37
34.17651,-118.32919,2020,6,8,28.5,16.92,7.28,8.22,10.04,26.97,-0.17
34.17651,-118.32919,2020,6,9,23.6,18.62,3.93,7.13,13.05,31.67,1.04
34.17651,-118.32919,2020,6,10,24.68,17.98,3.9,4.79,15.6,33.58,3.15
34.17651,-118.32919,2020,6,11,31.31,15.29,5.24,5.57,16.42,31.72,5.82
34.17651,-118.32919,2020,6,12,46.43,12.56,4.98,4.78,13.58,26.14,7.7
34.17651,-118.32919,2020,6,13,44.12,12.63,4.95,4.56,12.83,25.45,6.28
34.17651,-118.32919,2020,6,14,45.99,16.99,4.39,4.89,11.5,28.48,7.75
34.17651,-118.32919,2020,6,15,49.54,16.05,5.1,5.52,13.23,29.29,10.03
34.17651,-118.32919,2020,6,16,56.32,12.58,5.57,6.11,13.73,26.31,10.5
34.17651,-118.32919,2020,6,17,55.76,15.51,3.75,3.3,12.37,27.88,10.66
34.17651,-118.32919,2020,6,18,50.11,14.99,3.8,3.76,13.71,28.7,9.73
34.17651,-118.32919,2020,6,19,56.87,14.85,3.96,3.58,13.89,28.75,11.61
34.17651,-118.32919,2020,6,20,59.61,14.94,4.04,3.59,14.1,29.04,12.41
34.17651,-118.32919,2020,6,21,52.77,14.6,4.04,3.58,14.1,28.7,10.89
34.17651,-118.32919,2020,6,22,48.66,15.44,3.82,3.9,14.44,29.87,10.81
34.17651,-118.32919,2020,6,23,44.47,14.62,4.48,4.16,15.93,30.54,10.15
34.17651,-118.32919,2020,6,24,45.61,14.28,4.52,4.31,16.14,30.42,10.08
34.17651,-118.32919,2020,6,25,51.18,12.89,4.87,4.37,15.49,28.38,10.65
34.17651,-118.32919,2020,6,26,42.28,15.77,3.5,3.9,15.59,31.36,9.67
34.17651,-118.32919,2020,6,27,49.32,13.55,4.83,4.37,16.3,29.84,11.09
34.17651,-118.32919,2020,6,28,68.64,10.44,5.67,5.69,13.78,24.22,12.68
34.17651,-118.32919,2020,6,29,52.12,14.25,3.83,3.76,12.25,26.5,8.33
34.17651,-118.32919,2020,6,30,49.3,16.78,4.72,5.23,12.42,29.2,9.49
34.17651,-118.32919,2020,7,1,60.66,12.43,4.61,4.15,13.65,26.09,11.38
34.17651,-118.32919,2020,7,2,54,14.73,4.73,4.16,12.63,27.36,10.12
34.17651,-118.32919,2020,7,3,32.67,16.34,4.51,4.38,14.75,31.09,5.51
34.17651,-118.32919,2020,7,4,32.66,15.69,4.81,4.6,17.15,32.84,7.33
34.17651,-118.32919,2020,7,5,30.92,17.31,4.72,4.62,16.89,34.2,7.09
34.17651,-118.32919,2020,7,6,30.79,16.55,4.59,4.33,17.4,33.96,7.05
34.17651,-118.32919,2020,7,7,32.87,16.02,4.94,4.66,16.56,32.58,6.83
34.17651,-118.32919,2020,7,8,40.93,15.84,4.38,4.01,15.03,30.88,8.82
34.17651,-118.32919,2020,7,9,34.83,17.08,4.01,3.65,15.34,32.42,7.01
34.17651,-118.32919,2020,7,10,27.48,18.1,4.91,5.38,16.98,35.08,6.05
34.17651,-118.32919,2020,7,11,24.52,16.08,5.32,5.49,20.46,36.54,6.11
34.17651,-118.32919,2020,7,12,28.13,14.91,4.94,4.77,21.8,36.72,8.45
34.17651,-118.32919,2020,7,13,39.74,13.83,4.6,4.11,17.95,31.77,10
34.17651,-118.32919,2020,7,14,44.98,13.6,4.45,3.58,15.82,29.42,9.36
34.17651,-118.32919,2020,7,15,45.91,14.84,4.34,3.73,14.56,29.4,9.29
34.17651,-118.32919,2020,7,16,42.53,15.08,4,3.54,15.2,30.27,8.74
34.17651,-118.32919,2020,7,17,45.32,14.83,4.92,4.58,15.38,30.21,9.83
34.17651,-118.32919,2020,7,18,38.2,15.2,4.32,4.02,16.5,31.7,8.57
34.17651,-118.32919,2020,7,19,40.52,14.33,5.73,5.9,17.05,31.38,9.76
34.17651,-118.32919,2020,7,20,40.88,16.67,4.93,4.71,16.54,33.21,10.05
34.17651,-118.32919,2020,7,21,43.49,13.37,4.59,4.26,17.21,30.58,9.83
34.17651,-118.32919,2020,7,22,44.85,13.89,4.8,4.4,14.42,28.31,8.16
34.17651,-118.32919,2020,7,23,52.02,14.54,4.71,4.33,13.15,27.69,9.66
34.17651,-118.32919,2020,7,24,46.63,15.29,4.45,4.44,14.09,29.38,9.49
34.17651,-118.32919,2020,7,25,44.35,15.66,4.38,4.06,14.96,30.62,9.74
34.17651,-118.32919,2020,7,26,34.87,15.4,4.53,4.53,17.02,32.42,7.64
34.17651,-118.32919,2020,7,27,37.32,13.05,4.77,4.6,17.73,30.78,8.17
34.17651,-118.32919,2020,7,28,36.46,15.42,4.34,4.23,17,32.42,8.28
34.17651,-118.32919,2020,7,29,31.07,15.8,4.38,4.23,17.25,33.05,6.38
34.17651,-118.32919,2020,7,30,26.4,17.47,5.02,5.59,18.53,36,6.29
34.17651,-118.32919,2020,7,31,22.89,14.08,4.92,4.91,22.37,36.46,5.84
34.17651,-118.32919,2020,8,1,22.36,15.97,5.23,5.22,20.44,36.41,4.59
34.17651,-118.32919,2020,8,2,31.01,16.05,4.94,5.54,18.95,35,7.66
34.17651,-118.32919,2020,8,3,30.33,18.95,5.63,5.93,17.42,36.36,7.33
34.17651,-118.32919,2020,8,4,40.42,13.93,5.15,5,17.82,31.75,9.67
34.17651,-118.32919,2020,8,5,53.42,13.34,5.5,5.83,15.75,29.09,11.72
34.17651,-118.32919,2020,8,6,53.08,13.01,4.62,4,14.34,27.35,10.64
34.17651,-118.32919,2020,8,7,47.89,15.43,5.02,4.54,14.62,30.05,10.38
34.17651,-118.32919,2020,8,8,42.99,14.35,4.13,3.69,16.41,30.76,9.84
34.17651,-118.32919,2020,8,9,36.71,14.88,4.28,4.2,17.52,32.4,8.4
34.17651,-118.32919,2020,8,10,32.23,14.66,4.71,4.31,17.42,32.07,6.24
