LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
28.54221,-81.35759,2020,3,1,58.76,17.3,0.68,4.12,4.74,22.04,5.73
28.54221,-81.35759,2020,3,2,62.82,13.6,4.37,4.33,12.3,25.91,11.63
28.54221,-81.35759,2020,3,3,66.6,14.6,3.66,3.93,14.24,28.84,14.9
28.54221,-81.35759,2020,3,4,68.02,14.21,2.19,3.5,16.44,30.64,17.06
28.54221,-81.35759,2020,3,5,72.96,12.96,6.58,7.53,18.42,31.38,19.59
28.54221,-81.35759,2020,3,6,58.47,10.5,1.96,3.36,13.33,23.82,11.03
28.54221,-81.35759,2020,3,7,50.66,10.24,4.29,3.06,8.31,18.55,2.83
28.54221,-81.35759,2020,3,8,59.13,12.42,4.65,3.04,9.81,22.24,8.89
28.54221,-81.35759,2020,3,9,61.11,9.73,5.56,4.47,14.31,24.04,11.69
28.54221,-81.35759,2020,3,10,68.11,11.06,1.77,2.59,15.96,27.02,14.65
28.54221,-81.35759,2020,3,11,65.58,11.89,2.17,4.99,16.37,28.26,15.2
28.54221,-81.35759,2020,3,12,66.49,12.06,3.71,5.9,17.35,29.41,16
28.54221,-81.35759,2020,3,13,64.58,14.62,3.55,6,16.35,30.97,16.27
28.54221,-81.35759,2020,3,14,64.83,13.68,4.19,6.13,17.27,30.95,16.34
28.54221,-81.35759,2020,3,15,61.75,14.23,2.79,5.88,17.99,32.23,16.46
28.54221,-81.35759,2020,3,16,74.71,11.32,3.8,4.18,17.72,29.04,18.3
28.54221,-81.35759,2020,3,17,65.76,12.74,1.76,3.98,18.33,31.07,17.56
28.54221,-81.35759,2020,3,18,64.5,12.11,2.86,3.65,19.09,31.2,17.16
28.54221,-81.35759,2020,3,19,66.94,13.87,3.59,3.32,17.56,31.44,17.7
28.54221,-81.35759,2020,3,20,65.27,14.38,2.89,3.55,17.94,32.32,17.86
28.54221,-81.35759,2020,3,21,63.22,13.86,1.58,4.12,18.69,32.56,17.84
28.54221,-81.35759,2020,3,22,61.28,13.22,3.04,4.25,19.14,32.36,17.44
28.54221,-81.35759,2020,3,23,60.47,13.98,3.77,4.5,19.04,33.01,17.55
28.54221,-81.35759,2020,3,24,53.4,12.77,3.44,5.84,20.57,33.34,16.07
28.54221,-81.35759,2020,3,25,64.43,13.78,5.9,5.21,19.19,32.97,18.36
28.54221,-81.35759,2020,3,26,70.33,11.59,3.58,3.87,20.19,31.78,19.65
28.54221,-81.35759,2020,3,27,62.65,13.83,3.21,4.87,20.36,34.19,19.06
28.54221,-81.35759,2020,3,28,55.48,15.67,2.36,4.22,19.73,35.4,17.11
28.54221,-81.35759,2020,3,29,57.24,16.77,1.89,3.62,18.62,35.39,17.37
28.54221,-81.35759,2020,3,30,56.32,14.57,1.9,2.65,19.87,34.44,17.86
28.54221,-81.35759,2020,3,31,63.38,11.88,8.68,9.96,21.47,33.35,18.89
28.54221,-81.35759,2020,4,1,56.21,12.1,5.01,6.42,13.65,25.74,10.6
28.54221,-81.35759,2020,4,2,50.49,14.79,1.92,4.08,12.67,27.46,8.95
28.54221,-81.35759,2020,4,3,47.55,16.14,2.67,5.09,13.83,29.97,9.79
28.54221,-81.35759,2020,4,4,48.39,16.19,3.05,5.5,16.47,32.66,12.56
28.54221,-81.35759,2020,4,5,77.78,4.56,3.84,5.73,18.56,23.12,16.59
28.54221,-81.35759,2020,4,6,66.18,9.63,3.73,2.34,18.71,28.34,15.93
28.54221,-81.35759,2020,4,7,56.56,14.34,1.89,4.46,17.57,31.91,15.35
28.54221,-81.35759,2020,4,8,60.72,14.48,4.38,4.44,19.13,33.61,18.16
28.54221,-81.35759,2020,4,9,63.4,12.8,4.18,3.83,21.83,34.64,19.7
28.54221,-81.35759,2020,4,10,66.22,9.1,3.79,4.26,18.65,27.74,17.47
28.54221,-81.35759,2020,4,11,53.87,13.54,3.85,4.94,16.37,29.91,13.09
28.54221,-81.35759,2020,4,12,66.98,12.24,4.9,5.28,21.53,33.76,20.37
28.54221,-81.35759,2020,4,13,61.17,10.99,5.86,5.22,24,34.98,20.2
28.54221,-81.35759,2020,4,14,64.79,14.04,3.1,5.03,20.79,34.83,20.74
28.54221,-81.35759,2020,4,15,70.6,15.23,6.52,7.14,19.08,34.31,21
28.54221,-81.35759,2020,4,16,79.14,2.31,3.63,4.12,17.83,20.14,15.34
28.54221,-81.35759,2020,4,17,68.98,11.21,3.49,3.12,17.79,29,17.46
28.54221,-81.35759,2020,4,18,77.64,6.58,3.63,2.85,21.3,27.88,20.11
28.54221,-81.35759,2020,4,19,63.58,11.99,4.23,6.45,20.67,32.66,18.66
28.54221,-81.35759,2020,4,20,68.38,12.27,9.3,9.46,19.19,31.46,19.8
28.54221,-81.35759,2020,4,21,55.02,15.38,1.94,4.89,16.8,32.18,14.71
28.54221,-81.35759,2020,4,22,47.49,13.56,2.26,2.82,16.65,30.21,11.37
28.54221,-81.35759,2020,4,23,61.12,13.59,5.78,5.14,19.86,33.45,18.18
28.54221,-81.35759,2020,4,24,87.5,5.25,6.26,7.35,21.49,26.73,21.55
28.54221,-81.35759,2020,4,25,75.55,10.95,3.15,4.46,20.14,31.09,20.83
28.54221,-81.35759,2020,4,26,66.44,11.01,3.38,3.95,19.52,30.53,18.6
28.54221,-81.35759,2020,4,27,51.03,12.34,3.64,3.79,14.8,27.13,9.69
28.54221,-81.35759,2020,4,28,58.35,14.09,3.19,2.65,14.73,28.82,13.31
28.54221,-81.35759,2020,4,29,60.51,13.6,3.2,3.89,17.75,31.35,16.48
28.54221,-81.35759,2020,4,30,73.54,10.32,3.29,3.63,16.36,26.67,17.56
28.54221,-81.35759,2020,5,1,46.83,15.4,3.01,3.76,14.06,29.47,9.71
28.54221,-81.35759,2020,5,2,52.35,16.82,2.51,4.4,14.12,30.94,12.49
28.54221,-81.35759,2020,5,3,53.57,13.63,2.36,5.31,18,31.63,14.26
28.54221,-81.35759,2020,5,4,51.49,16.77,2.94,5.65,17.46,34.23,15.29
28.54221,-81.35759,2020,5,5,54.85,16.55,3.69,5.34,18.38,34.93,16.71
28.54221,-81.35759,2020,5,6,58.11,15.28,5.06,4.42,18.36,33.64,16.98
28.54221,-81.35759,2020,5,7,43.41,12.28,3.83,3.07,14.14,26.42,7.35
28.54221,-81.35759,2020,5,8,41.14,18.19,3.55,5.4,13.24,31.43,8.3
28.54221,-81.35759,2020,5,9,68.71,14.01,4.56,4.36,16.88,30.89,16.85
28.54221,-81.35759,2020,5,10,76.52,4.86,4.2,4.76,20.04,24.9,17.99
28.54221,-81.35759,2020,5,11,59.56,13.36,5.18,6.05,17.86,31.22,15.71
28.54221,-81.35759,2020,5,12,52.43,14.35,5.65,6.22,16.07,30.42,12.85
28.54221,-81.35759,2020,5,13,58.99,11.43,5.45,4.19,18.57,30,15.92
28.54221,-81.35759,2020,5,14,59.05,8.58,3.9,2.65,21.02,29.6,16.35
28.54221,-81.35759,2020,5,15,70.86,9.04,3.92,2.6,21.26,30.3,19.47
28.54221,-81.35759,2020,5,16,75.61,8.47,5.1,4.45,22.19,30.65,21.07
28.54221,-81.35759,2020,5,17,63.98,14.72,2.45,3.83,20.69,35.41,20.23
28.54221,-81.35759,2020,5,18,64.56,8.4,5.67,6.35,22.47,30.87,19.29
28.54221,-81.35759,2020,5,19,54.37,13.95,4.76,4.22,21.23,35.18,17.09
28.54221,-81.35759,2020,5,20,52.59,17.66,2.98,2.14,18.36,36.02,16.83
28.54221,-81.35759,2020,5,21,53.29,14.1,2.96,4.88,20.92,35.02,18.01
28.54221,-81.35759,2020,5,22,64.9,11.25,2.59,2.95,22.76,34,20.81
28.54221,-81.35759,2020,5,23,65.02,10.58,3.27,3.06,22.86,33.44,20.68
28.54221,-81.35759,2020,5,24,70.28,6.78,4.21,2.87,23.78,30.56,21.03
28.54221,-81.35759,2020,5,25,81.71,4.05,4.35,3.71,22.84,26.89,21.28
28.54221,-81.35759,2020,5,26,81.73,5.19,3.82,6.41,23.28,28.47,22.04
28.54221,-81.35759,2020,5,27,77.17,9.33,3.52,4.15,21.84,31.17,22.33
28.54221,-81.35759,2020,5,28,83.53,7.8,0.93,2.59,22.86,30.65,23.37
28.54221,-81.35759,2020,5,29,79.11,9.32,1.44,1.62,22.23,31.55,22.87
28.54221,-81.35759,2020,5,30,80.69,8.27,1.84,4.8,23.16,31.43,23.37
28.54221,-81.35759,2020,5,31,67.95,11.73,2.26,4.55,22.5,34.23,21.79
28.54221,-81.35759,2020,6,1,78.56,6.13,5.98,6.02,24.19,30.32,22.71
28.54221,-81.35759,2020,6,2,75.1,6.1,4.83,3.28,23.17,29.26,21.17
28.54221,-81.35759,2020,6,3,84.65,4.44,1.91,2.64,22.67,27.12,21.99
28.54221,-81.35759,2020,6,4,93.36,3.32,3.11,2.98,22.62,25.94,22.63
28.54221,-81.35759,2020,6,5,82.63,7.48,2.14,4.41,22.26,29.74,22.19
28.54221,-81.35759,2020,6,6,91.71,4.91,3.2,6.1,22.92,27.83,24.1
28.54221,-81.35759,2020,6,7,92.9,3.91,2.46,2.04,24.29,28.2,24.88
28.54221,-81.35759,2020,6,8,83.66,7.82,3.73,4.89,23.41,31.24,24.5
28.54221,-81.35759,2020,6,9,79.04,7.11,1.68,4.15,24.72,31.83,24.04
28.54221,-81.35759,2020,6,10,81.64,7.42,1.5,2.88,24.47,31.9,24.16
28.54221,-81.35759,2020,6,11,81.23,7.63,3.58,5.02,23.37,31.01,23.31
28.54221,-81.35759,2020,6,12,75.37,8.24,3.12,3.94,22.04,30.28,21.4
28.54221,-81.35759,2020,6,13,79.38,6.53,1.77,2.35,22.73,29.26,21.8
28.54221,-81.35759,2020,6,14,83.77,6.53,1.38,2.16,22.09,28.62,22.2
28.54221,-81.35759,2020,6,15,78.5,9.4,3.49,3.87,20.62,30.02,21.17
28.54221,-81.35759,2020,6,16,75.63,10.14,2.33,3.57,19.4,29.53,19.69
28.54221,-81.35759,2020,6,17,72.07,10.67,3.51,6.12,20.21,30.89,20.2
28.54221,-81.35759,2020,6,18,78.1,9.4,3.97,5.67,22.13,31.53,22.24
28.54221,-81.35759,2020,6,19,85.35,6.51,2.55,4.64,23.11,29.61,23.39
28.54221,-81.35759,2020,6,20,75.83,11.71,1.85,4.1,20.86,32.56,22.58
28.54221,-81.35759,2020,6,21,69.37,10.91,1.26,2.53,22.43,33.34,22.21
28.54221,-81.35759,2020,6,22,67.34,11.23,1.38,3.73,22.54,33.77,21.68
28.54221,-81.35759,2020,6,23,73.07,9.42,2.91,3.31,23.61,33.03,22.8
28.54221,-81.35759,2020,6,24,69.21,10.21,2.27,4.84,23.37,33.58,22.73
28.54221,-81.35759,2020,6,25,68.91,10.21,1.74,4.19,24.33,34.54,23.38
28.54221,-81.35759,2020,6,26,71.83,9.67,3.12,4.71,23.93,33.6,23.19
28.54221,-81.35759,2020,6,27,65.25,10.91,1.36,4.21,23.77,34.67,22.08
28.54221,-81.35759,2020,6,28,64.75,11.32,1.1,3.58,23.75,35.07,22.19
28.54221,-81.35759,2020,6,29,65.11,10.77,1.63,3.39,24.23,35,22.49
28.54221,-81.35759,2020,6,30,71.9,9.41,1.3,2.22,24.32,33.73,23.34
28.54221,-81.35759,2020,7,1,73.08,8.49,2.58,2.52,24.27,32.76,22.9
28.54221,-81.35759,2020,7,2,73.93,9.01,2.8,2.82,23.76,32.78,22.93
28.54221,-81.35759,2020,7,3,77.59,7.83,2.01,2.18,23.92,31.74,23.43
28.54221,-81.35759,2020,7,4,78.29,7.82,2.65,4.76,24.3,32.12,23.61
28.54221,-81.35759,2020,7,5,84.74,6.43,1.56,3.21,23.97,30.4,23.9
28.54221,-81.35759,2020,7,6,84.28,8.05,1.25,2.09,22.42,30.47,23.72
28.54221,-81.35759,2020,7,7,82.39,8.11,2.06,2.11,23.33,31.45,23.94
28.54221,-81.35759,2020,7,8,85.5,5.2,3.01,2.29,23.94,29.15,24.12
28.54221,-81.35759,2020,7,9,77.57,8.36,1.27,2.67,24.78,33.14,24.2
28.54221,-81.35759,2020,7,10,80.63,7.8,3.22,3.96,25,32.8,24.98
28.54221,-81.35759,2020,7,11,81.98,8.18,2.21,4.18,25.05,33.23,25.37
28.54221,-81.35759,2020,7,12,77.02,8.93,1.25,3.9,24.63,33.56,24.57
28.54221,-81.35759,2020,7,13,72.11,10.87,1.7,2.21,23.19,34.06,23.2
28.54221,-81.35759,2020,7,14,76.51,8.25,1.06,2.52,25.15,33.41,24.53
28.54221,-81.35759,2020,7,15,76.82,8.56,2.67,4.74,24.06,32.62,23.85
28.54221,-81.35759,2020,7,16,78.52,8.43,4.31,5.42,23.63,32.06,23.74
28.54221,-81.35759,2020,7,17,77.06,7.57,3.01,2.1,24.32,31.89,23.58
28.54221,-81.35759,2020,7,18,78.55,7.4,3.02,1.81,24.48,31.88,23.98
28.54221,-81.35759,2020,7,19,73.86,9.04,3.04,2.39,24.1,33.15,23.39
28.54221,-81.35759,2020,7,20,79.9,7.18,3.48,3.84,24.26,31.44,24.17
28.54221,-81.35759,2020,7,21,80.05,5.99,2.7,2.09,24.78,30.77,23.84
28.54221,-81.35759,2020,7,22,86.77,3.93,2.69,2.04,25.37,29.3,24.59
28.54221,-81.35759,2020,7,23,88.48,4.38,3.84,5.12,24.71,29.09,24.67
28.54221,-81.35759,2020,7,24,78.89,7.61,3.75,3.13,24.18,31.79,23.84
28.54221,-81.35759,2020,7,25,80.56,6.17,3.35,2.36,24.39,30.56,23.77
28.54221,-81.35759,2020,7,26,81.07,7.1,1.57,1.62,23.91,31.01,23.87
28.54221,-81.35759,2020,7,27,78.87,9.2,0.91,1.77,23.56,32.75,23.7
28.54221,-81.35759,2020,7,28,84.9,7.22,1.56,2.23,23.51,30.72,23.88
28.54221,-81.35759,2020,7,29,80.1,8.01,1,2.53,23.34,31.35,23.58
28.54221,-81.35759,2020,7,30,77.5,8.06,1.03,1.52,24.14,32.2,23.9
28.54221,-81.35759,2020,7,31,76.04,9.15,2.82,5.32,24.01,33.15,24.01
28.54221,-81.35759,2020,8,1,74.14,9.35,5,6.49,24.69,34.04,23.84
28.54221,-81.35759,2020,8,2,83.07,3.71,5.94,5.2,24.91,28.62,23.61
28.54221,-81.35759,2020,8,3,71.78,10.31,5.59,5.96,24.2,34.51,23.31
28.54221,-81.35759,2020,8,4,73.97,10.14,1.19,3.08,24.64,34.78,24.39
28.54221,-81.35759,2020,8,5,82.51,6.81,2.17,3.49,25.62,32.43,25.17
28.54221,-81.35759,2020,8,6,80.38,7.56,1.75,4.01,24.62,32.17,24.47
28.54221,-81.35759,2020,8,7,78.03,7.8,1.62,3.44,25.16,32.96,24.4
28.54221,-81.35759,2020,8,8,74.58,9.09,3.32,6.08,24.57,33.65,23.65
28.54221,-81.35759,2020,8,9,76.65,8.78,2.44,4.73,24.54,33.32,23.9
28.54221,-81.35759,2020,8,10,77.22,8.66,1.29,3.59,24.1,32.76,23.88
