LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
31.31841,-92.45799,2020,3,1,87.79,11.73,3.35,3.66,7.93,19.66,12.05
31.31841,-92.45799,2020,3,2,94.67,6.53,2.54,2.81,15.68,22.21,17.9
31.31841,-92.45799,2020,3,3,95,5.76,3.11,6.28,17.52,23.29,18.93
31.31841,-92.45799,2020,3,4,94.8,7.69,5.12,7.18,12.22,19.91,15.93
31.31841,-92.45799,2020,3,5,83.42,8.5,3.48,2.97,10.44,18.94,10.95
31.31841,-92.45799,2020,3,6,73.99,11.03,3.14,3.05,5.73,16.76,6.58
31.31841,-92.45799,2020,3,7,73.23,12.03,2.4,4.29,2.97,15,4.16
31.31841,-92.45799,2020,3,8,80.74,14.82,2.18,4.92,4.07,18.9,8.72
31.31841,-92.45799,2020,3,9,91.85,11.13,4.04,4.36,11.08,22.21,15.34
31.31841,-92.45799,2020,3,10,88.75,9.2,1.32,3.69,15.9,25.1,17.64
31.31841,-92.45799,2020,3,11,86.87,9.9,2.32,2.53,15.12,25.02,17.25
31.31841,-92.45799,2020,3,12,87.41,9.89,3.34,3.03,15.79,25.67,17.73
31.31841,-92.45799,2020,3,13,86.77,9.86,1.4,3.31,16.57,26.43,18.56
31.31841,-92.45799,2020,3,14,89.29,9.1,2.33,2.46,16.71,25.81,19.09
31.31841,-92.45799,2020,3,15,85.54,13.73,3.08,4.63,12.86,26.59,17.41
31.31841,-92.45799,2020,3,16,87.51,11.11,2.32,3.11,11.47,22.58,14.65
31.31841,-92.45799,2020,3,17,88.77,8.81,1.57,4.57,16.55,25.36,18.59
31.31841,-92.45799,2020,3,18,90.46,9.94,2.91,3.12,16.53,26.46,19.75
31.31841,-92.45799,2020,3,19,88.86,7.02,2.89,3.53,20.01,27.04,21.01
31.31841,-92.45799,2020,3,20,92,9.32,3.95,5.96,15.83,25.14,20.22
31.31841,-92.45799,2020,3,21,82.21,7.35,1.84,2.76,11.27,18.61,11.64
31.31841,-92.45799,2020,3,22,93.03,14.72,2.24,3.09,11.07,25.79,17.2
31.31841,-92.45799,2020,3,23,87.49,9.42,1.72,2.5,18.06,27.48,20.09
31.31841,-92.45799,2020,3,24,89.41,8.23,4.44,4.8,18.61,26.83,20.5
