LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
42.37171,-71.98889,2020,3,1,68.97,9.6,2.51,4.34,-10.14,-0.54,-10.51
42.37171,-71.98889,2020,3,2,87.53,15.05,4.33,7.54,-6.01,9.04,-0.37
42.37171,-71.98889,2020,3,3,89.11,11.78,2.78,5.71,2.86,14.64,5.84
42.37171,-71.98889,2020,3,4,79.02,7.04,3.96,5.07,0.73,7.76,1.27
42.37171,-71.98889,2020,3,5,72.91,9.82,2.42,4.22,-1.34,8.48,-1.71
42.37171,-71.98889,2020,3,6,81.03,8.27,3.63,6.27,-1.58,6.68,-0.92
42.37171,-71.98889,2020,3,7,64.46,8.21,3.29,4,-4.04,4.18,-6.84
42.37171,-71.98889,2020,3,8,75.43,12.4,1.28,2.77,-3.74,8.66,-2.21
42.37171,-71.98889,2020,3,9,79.84,14.84,1.4,4.21,1.9,16.75,5.4
42.37171,-71.98889,2020,3,10,85.52,11.04,2.94,5.96,5.05,16.09,8.04
42.37171,-71.98889,2020,3,11,72.44,10.58,3.14,5.6,-1.19,9.39,0.02
42.37171,-71.98889,2020,3,12,80.73,11.85,1.6,4.14,-1.76,10.09,0.94
42.37171,-71.98889,2020,3,13,93.09,12.44,3.76,6.49,1.88,14.32,6.17
42.37171,-71.98889,2020,3,14,72.87,9.02,2.1,3.23,0.12,9.14,-0.48
42.37171,-71.98889,2020,3,15,65.55,12.1,1.39,2.66,-4.8,7.3,-4.23
42.37171,-71.98889,2020,3,16,66.63,10.08,1.15,3.07,-5.59,4.49,-6.71
42.37171,-71.98889,2020,3,17,96.89,7.81,1.86,4.89,-2.75,5.06,0.97
42.37171,-71.98889,2020,3,18,71.06,14.15,2,5.23,-2.9,11.25,-0.86
42.37171,-71.98889,2020,3,19,97.16,4.07,2.98,5.05,1.09,5.16,2.52
42.37171,-71.98889,2020,3,20,97.74,12.81,5.11,9.02,2.53,15.34,8.74
42.37171,-71.98889,2020,3,21,64.87,11.11,2.63,4.13,-4.27,6.85,-3.68
42.37171,-71.98889,2020,3,22,62.11,9.76,1.67,3.61,-5.55,4.21,-8.05
42.37171,-71.98889,2020,3,23,83.53,6.52,2.29,3.69,-3.25,3.27,-2.6
42.37171,-71.98889,2020,3,24,93.05,8.84,2.34,2.48,-3.34,5.5,-0.29
42.37171,-71.98889,2020,3,25,93.49,7.81,1.03,1.88,-3.85,3.96,-0.4
42.37171,-71.98889,2020,3,26,78.25,13.73,1.89,4.98,-1.94,11.79,0.69
42.37171,-71.98889,2020,3,27,74.54,13.61,1.86,2.64,-0.66,12.95,2.35
42.37171,-71.98889,2020,3,28,75.68,11.51,1.18,2.87,-2.08,9.44,0.41
42.37171,-71.98889,2020,3,29,95.93,3.48,2.55,4.06,3.41,6.89,4.39
42.37171,-71.98889,2020,3,30,90.31,6.66,0.93,1.44,1.47,8.13,2.67
42.37171,-71.98889,2020,3,31,74.5,11.49,1.78,2.86,-2.69,8.8,-1.4
42.37171,-71.98889,2020,4,1,82.38,10.75,2.17,2.5,-3.41,7.34,-0.16
42.37171,-71.98889,2020,4,2,83.46,8.16,2.94,4.99,1.2,9.37,1.77
42.37171,-71.98889,2020,4,3,93.89,4.52,1.25,2.06,2.57,7.09,4.21
42.37171,-71.98889,2020,4,4,84.97,8.8,2.82,4.62,2.19,10.99,3.61
42.37171,-71.98889,2020,4,5,88.89,9.44,1.08,2.81,2.05,11.49,5.57
42.37171,-71.98889,2020,4,6,68.19,10.61,1.06,3.56,3.4,14.01,2.4
