LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
46.26811,-94.55479,2020,3,1,89.35,7.68,6.75,7.89,-5.01,2.67,-2.21
46.26811,-94.55479,2020,3,2,83.03,12.99,4.44,5.39,-12.05,0.94,-6.97
46.26811,-94.55479,2020,3,3,89.25,9.61,3.7,3.11,-7.78,1.83,-3.98
46.26811,-94.55479,2020,3,4,88.26,12.92,6.77,8.66,-9.66,3.26,-5.02
46.26811,-94.55479,2020,3,5,88.5,7.44,8.86,9.44,-7.21,0.23,-3.46
46.26811,-94.55479,2020,3,6,79.3,13.03,6.85,9.43,-10.58,2.46,-7.24
46.26811,-94.55479,2020,3,7,89.34,12.67,3.76,3.52,-3.22,9.45,0.57
46.26811,-94.55479,2020,3,8,86.49,15.34,4.46,4.3,-0.49,14.85,3.81
46.26811,-94.55479,2020,3,9,77.15,3.91,4.68,4.09,-5.52,-1.61,-7.11
46.26811,-94.55479,2020,3,10,77.05,7.61,3.46,5.03,-6.52,1.09,-6.18
46.26811,-94.55479,2020,3,11,86.03,10.42,8.02,9.18,-3.53,6.89,-1.17
46.26811,-94.55479,2020,3,12,81.96,10.38,11.44,13.19,-4.61,5.77,-2.16
46.26811,-94.55479,2020,3,13,60,6.48,5.78,6.58,-7.23,-0.74,-10.89
46.26811,-94.55479,2020,3,14,72.91,7.2,2.43,3.07,-9.15,-1.95,-10.35
46.26811,-94.55479,2020,3,15,78.34,11.42,3.36,3.21,-8.84,2.59,-6.24
46.26811,-94.55479,2020,3,16,77.35,7.3,4.82,4.82,-6.01,1.29,-5.16
46.26811,-94.55479,2020,3,17,68.59,12.33,3.74,5.6,-7.73,4.6,-6.75
46.26811,-94.55479,2020,3,18,91.29,6.53,2.25,4.99,-1.33,5.2,0.17
46.26811,-94.55479,2020,3,19,87.55,10,11.2,13.48,-7.3,2.69,-2.32
46.26811,-94.55479,2020,3,20,58.63,9.22,10.13,11.81,-11.16,-1.94,-13.57
46.26811,-94.55479,2020,3,21,73.75,10.64,4.95,3.91,-9.85,0.79,-8.02
46.26811,-94.55479,2020,3,22,83.55,9.55,9.18,9.78,-3.31,6.24,-1.78
46.26811,-94.55479,2020,3,23,70.45,10.89,4.74,8.57,-3.51,7.39,-3.46
46.26811,-94.55479,2020,3,24,92.67,9.81,5.2,4.65,-1.92,7.89,2.47
46.26811,-94.55479,2020,3,25,81.85,7.18,3.59,2.59,-3.17,4.01,-1.81
46.26811,-94.55479,2020,3,26,69.78,11.85,2.1,4.34,-4.62,7.23,-4.06
46.26811,-94.55479,2020,3,27,68.5,14.2,3.7,4.01,-2.37,11.83,-0.26
46.26811,-94.55479,2020,3,28,82.78,9.23,8.32,10.36,0.48,9.7,1.65
46.26811,-94.55479,2020,3,29,64.05,11.12,7,6.3,0.76,11.88,-0.9
46.26811,-94.55479,2020,3,30,59.93,15.3,2.9,7.25,-1.62,13.68,-1.97
46.26811,-94.55479,2020,3,31,65.05,13.88,2.91,3.37,-3.03,10.85,-2.19
46.26811,-94.55479,2020,4,1,77.7,12.68,3.62,3.9,-1.23,11.45,1.59
46.26811,-94.55479,2020,4,2,89.69,12.48,5.26,7.15,-3.01,9.47,2.61
46.26811,-94.55479,2020,4,3,75.11,6.18,4.53,4.77,-9.11,-2.93,-8.85
46.26811,-94.55479,2020,4,4,65.34,14.35,3.64,7.26,-8.76,5.59,-7.69
46.26811,-94.55479,2020,4,5,68.08,14.96,3.78,4.15,-3.75,11.21,-1.93
46.26811,-94.55479,2020,4,6,89.08,12.73,4.1,3.72,0.88,13.61,6.04
46.26811,-94.55479,2020,4,7,72.94,10.25,7.29,8.37,5.47,15.71,5.21
46.26811,-94.55479,2020,4,8,61.53,10.91,8.92,10.03,-1.5,9.41,-2.43
46.26811,-94.55479,2020,4,9,69.12,6.52,8.05,6.88,-4.76,1.76,-6.32
46.26811,-94.55479,2020,4,10,61.29,13.03,2.72,3.55,-5.06,7.97,-5.59
46.26811,-94.55479,2020,4,11,66.71,11.05,5.92,6.45,-1.2,9.85,-2.62
46.26811,-94.55479,2020,4,12,64.2,4.46,3.27,3.3,-4.56,-0.09,-7.58
46.26811,-94.55479,2020,4,13,56.82,4.57,4.46,4.62,-6.33,-1.76,-11.57
46.26811,-94.55479,2020,4,14,57.67,5.53,3.5,2.03,-8.69,-3.16,-12.71
46.26811,-94.55479,2020,4,15,61.15,10.3,3.79,3.03,-10.85,-0.55,-11.08
46.26811,-94.55479,2020,4,16,58.52,11.79,3.47,3.13,-6.53,5.27,-7.6
