LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
38.18311,-115.86829,2020,3,1,61,4.71,8.1,8.68,-2.08,2.63,-6.5
38.18311,-115.86829,2020,3,2,36.22,13.67,5.36,3.55,-5,8.68,-12.93
38.18311,-115.86829,2020,3,3,50.72,16.43,4.15,3.61,-3.84,12.59,-5.64
38.18311,-115.86829,2020,3,4,41.87,17.47,2.43,3.8,-2.04,15.42,-5.45
38.18311,-115.86829,2020,3,5,31.99,14.84,3.9,4.15,3.67,18.52,-6.46
38.18311,-115.86829,2020,3,6,39.13,13.2,4.92,5.68,3.34,16.54,-4.75
38.18311,-115.86829,2020,3,7,44.88,11,8.66,8.03,1.86,12.85,-4.39
38.18311,-115.86829,2020,3,8,45.88,14.3,6.34,8.19,-1,13.3,-5.34
38.18311,-115.86829,2020,3,9,44.97,12.05,4.87,4.87,0,12.05,-5.88
38.18311,-115.86829,2020,3,10,62.16,12.82,3.72,3.76,-0.33,12.49,-0.96
38.18311,-115.86829,2020,3,11,67.15,11.51,2.17,1.97,1.73,13.24,1.18
38.18311,-115.86829,2020,3,12,41.64,16.04,4.84,6.67,1.38,17.41,-3.31
38.18311,-115.86829,2020,3,13,50.32,13.05,9.45,11.42,1.13,14.19,-2.83
38.18311,-115.86829,2020,3,14,63.3,9.49,5.6,4.86,2.49,11.98,-0.07
38.18311,-115.86829,2020,3,15,61.31,9.76,6.81,4.7,1.57,11.33,-1.14
38.18311,-115.86829,2020,3,16,70,12.59,7.38,7.36,-1.9,10.69,-0.62
38.18311,-115.86829,2020,3,17,52.48,12.61,7.14,6.02,-3.69,8.92,-6.29
38.18311,-115.86829,2020,3,18,48.6,11.37,4.66,5.3,-5.09,6.28,-8.69
38.18311,-115.86829,2020,3,19,58.97,7.36,3.28,3.36,-2.55,4.81,-6.39
38.18311,-115.86829,2020,3,20,66.72,7.33,1.67,2.32,-2.45,4.88,-4.78
38.18311,-115.86829,2020,3,21,43.85,12.36,2.44,3.26,-2.8,9.56,-7.82
38.18311,-115.86829,2020,3,22,41.75,14.31,3.24,4.91,-2.05,12.26,-6.85
38.18311,-115.86829,2020,3,23,66.57,10.11,2.79,2.22,0.39,10.5,-1.06
38.18311,-115.86829,2020,3,24,58.39,14.67,8.18,7.93,-1.12,13.55,-1.91
38.18311,-115.86829,2020,3,25,42.3,15.18,9.11,10.91,-2.25,12.93,-7.11
38.18311,-115.86829,2020,3,26,55.59,7.14,4.83,4.4,-3.34,3.8,-7.93
38.18311,-115.86829,2020,3,27,36.91,13.23,3.72,3.49,-6.36,6.87,-12.64
38.18311,-115.86829,2020,3,28,44.41,10.78,2.41,3.15,-1.82,8.96,-7.57
38.18311,-115.86829,2020,3,29,67.43,6.15,3.36,3.35,-0.58,5.57,-2.87
38.18311,-115.86829,2020,3,30,42.85,15.93,5.42,6.16,-1.52,14.42,-6.11
38.18311,-115.86829,2020,3,31,40.12,18.02,5.66,6.13,1.01,19.03,-3.67
38.18311,-115.86829,2020,4,1,33.51,17.76,10.89,12.77,1.61,19.36,-5.25
38.18311,-115.86829,2020,4,2,26.69,13.3,4.82,5.11,-3.86,9.44,-14.79
38.18311,-115.86829,2020,4,3,27.41,16.08,5.2,5.71,-4.26,11.82,-13
38.18311,-115.86829,2020,4,4,32.12,16.23,9.18,10.96,0.13,16.36,-7.59
38.18311,-115.86829,2020,4,5,54.24,14.92,9.96,10.48,-0.8,14.13,-1.16
38.18311,-115.86829,2020,4,6,72.01,6.25,7.44,8.2,2.05,8.31,0.43
38.18311,-115.86829,2020,4,7,69.57,10.4,4.6,5.37,0.53,10.93,0.38
38.18311,-115.86829,2020,4,8,58.15,15.13,6.99,8.18,1.46,16.6,-0.84
38.18311,-115.86829,2020,4,9,64.12,7.09,2.35,2.64,-1.05,6.05,-3.27
38.18311,-115.86829,2020,4,10,45.09,17.38,3.44,3.73,-3.42,13.96,-5.19
38.18311,-115.86829,2020,4,11,41.09,18.44,3.54,4.01,0.01,18.45,-2.95
38.18311,-115.86829,2020,4,12,34.96,14.13,2.99,2.43,-0.94,13.2,-8.21
38.18311,-115.86829,2020,4,13,25.64,14.84,5.73,5.74,-3.45,11.4,-14.31
38.18311,-115.86829,2020,4,14,25.67,18,1.97,2.16,-4.81,13.19,-13.77
38.18311,-115.86829,2020,4,15,31.46,19.75,6.25,6.83,-0.34,19.41,-6.82
38.18311,-115.86829,2020,4,16,39.27,15.51,3.3,5.15,0.27,15.78,-5.1
38.18311,-115.86829,2020,4,17,57.77,10.33,4.61,5.65,-0.18,10.15,-3.29
38.18311,-115.86829,2020,4,18,54.04,13.34,2.72,3.22,0.39,13.73,-0.92
38.18311,-115.86829,2020,4,19,52.67,11.17,2.07,2.4,3.02,14.19,-0.4
38.18311,-115.86829,2020,4,20,46.08,15.83,3.07,4.47,0.54,16.37,-1.92
38.18311,-115.86829,2020,4,21,43.32,12.58,4.31,5.28,4.47,17.05,-1.44
38.18311,-115.86829,2020,4,22,36.75,17.91,2.41,3.91,3.88,21.78,-1.58
38.18311,-115.86829,2020,4,23,41.12,15.75,4.25,3.06,6.07,21.82,0.24
