LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
40.87711,-74.70249,2020,3,1,73.2,10.98,2.06,2.64,-6.58,4.39,-5.72
40.87711,-74.70249,2020,3,2,87.32,14.26,2.82,5.87,-2.04,12.22,2.99
40.87711,-74.70249,2020,3,3,91.94,10.02,4.3,8.15,4.07,14.09,7.61
40.87711,-74.70249,2020,3,4,74.62,7.87,3.65,3.76,3.01,10.88,2.34
40.87711,-74.70249,2020,3,5,69.85,12.66,2.18,5.02,-2.43,10.23,-1.05
40.87711,-74.70249,2020,3,6,89.76,6.97,1.35,1.85,-0.17,6.8,1.26
40.87711,-74.70249,2020,3,7,69.96,9.85,4.02,5.16,-3.68,6.17,-3.7
40.87711,-74.70249,2020,3,8,71.02,16.31,1.63,4.64,-3.71,12.6,-0.88
40.87711,-74.70249,2020,3,9,75.8,17.8,1.94,5.88,0.8,18.59,5.46
40.87711,-74.70249,2020,3,10,86.6,11.33,3.13,4.61,5.9,17.22,9.31
40.87711,-74.70249,2020,3,11,69.74,12.28,3.69,6.87,0.74,13.02,1.51
40.87711,-74.70249,2020,3,12,85.07,8.65,2.93,5,2.09,10.74,4.04
40.87711,-74.70249,2020,3,13,78.26,14.53,3.49,5.83,3.84,18.36,7.19
40.87711,-74.70249,2020,3,14,70.65,11.84,1.89,2.42,-0.5,11.34,0.22
40.87711,-74.70249,2020,3,15,68.73,11.81,1.16,2.67,-0.85,10.97,-0.74
40.87711,-74.70249,2020,3,16,74.59,11.35,1.19,1.97,-3.85,7.5,-2.53
40.87711,-74.70249,2020,3,17,91.16,9.24,2.73,4.94,1.05,10.29,3.81
40.87711,-74.70249,2020,3,18,72.82,13.94,1.43,4.59,-2.15,11.79,0.56
40.87711,-74.70249,2020,3,19,92.02,7.39,2.09,3.87,3.17,10.55,5.22
40.87711,-74.70249,2020,3,20,90.87,14.11,3.43,6.38,6.36,20.46,12.18
40.87711,-74.70249,2020,3,21,64.07,10.65,3.76,5.75,-1.07,9.58,-1.51
40.87711,-74.70249,2020,3,22,66.96,10.93,1.81,3.23,-3.87,7.07,-4.29
40.87711,-74.70249,2020,3,23,94.37,3.38,2.21,2.99,-0.58,2.79,0.52
40.87711,-74.70249,2020,3,24,80.98,13.06,1.96,3.58,-1.29,11.77,1.52
40.87711,-74.70249,2020,3,25,91.55,8.06,2.48,2.95,-0.31,7.75,2.19
40.87711,-74.70249,2020,3,26,81.93,16.33,2.75,6.13,-1.96,14.37,3.71
40.87711,-74.70249,2020,3,27,73.14,11.87,1.6,2.45,5.5,17.37,5.52
40.87711,-74.70249,2020,3,28,92.78,5.47,2.58,3.78,3.87,9.34,5.74
40.87711,-74.70249,2020,3,29,96.3,5.45,2.1,3.41,5.47,10.92,7.33
40.87711,-74.70249,2020,3,30,94.92,5.69,1.68,3.17,5.65,11.33,7.05
40.87711,-74.70249,2020,3,31,84.57,6.34,1.92,2.52,3.46,9.81,3.71
40.87711,-74.70249,2020,4,1,71.76,10.26,2.02,3.57,1.69,11.95,1.41
40.87711,-74.70249,2020,4,2,69.42,11.77,2.98,4.97,-0.04,11.73,1.04
40.87711,-74.70249,2020,4,3,81.17,5.78,2.63,4.53,4.5,10.28,4.16
