LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
40.72981,-74.00989,2020,3,1,71.84,10.17,2.86,3.67,-5.63,4.54,-5.41
40.72981,-74.00989,2020,3,2,87.11,12.78,3.57,5.91,-0.95,11.83,3.49
40.72981,-74.00989,2020,3,3,91.8,8.92,4.89,8.69,4.88,13.79,7.66
40.72981,-74.00989,2020,3,4,75.09,6.82,4.3,4.41,3.89,10.71,2.82
40.72981,-74.00989,2020,3,5,71.35,11.12,3.12,5.99,-1.17,9.96,-0.31
40.72981,-74.00989,2020,3,6,87.5,6.07,1.88,2.37,1.19,7.26,1.92
40.72981,-74.00989,2020,3,7,70.53,9.19,4.64,5.13,-2.72,6.48,-2.96
40.72981,-74.00989,2020,3,8,71.83,15.39,1.57,4.96,-3.02,12.37,-0.41
40.72981,-74.00989,2020,3,9,77.5,16.28,1.7,5.5,1.46,17.74,5.73
40.72981,-74.00989,2020,3,10,86.83,10.2,3.16,4.22,6.2,16.4,9.38
40.72981,-74.00989,2020,3,11,70.61,10.52,4.26,7.44,1.99,12.51,2.08
40.72981,-74.00989,2020,3,12,85.83,7.66,3.6,5.68,2.53,10.18,4.09
40.72981,-74.00989,2020,3,13,80.7,13.77,3.38,4.66,4.37,18.14,7.73
40.72981,-74.00989,2020,3,14,71.25,10.79,2.19,2.11,0.43,11.22,0.86
40.72981,-74.00989,2020,3,15,69.6,10.26,1.98,2.42,0.39,10.65,0.01
40.72981,-74.00989,2020,3,16,74.9,9.89,1.23,2.54,-2.95,6.95,-2.11
40.72981,-74.00989,2020,3,17,90.54,8.43,3.46,6.21,2.14,10.57,4.49
40.72981,-74.00989,2020,3,18,71.98,12.61,2.05,5.11,-1.2,11.41,0.75
40.72981,-74.00989,2020,3,19,92.03,6.43,2.42,4.08,3.88,10.31,5.5
40.72981,-74.00989,2020,3,20,92.7,12.61,3.59,6.4,6.51,19.12,12
40.72981,-74.00989,2020,3,21,65.95,9.38,4.71,6.67,0.39,9.78,-0.46
40.72981,-74.00989,2020,3,22,67.98,9.47,2.62,4.19,-2.89,6.58,-3.69
40.72981,-74.00989,2020,3,23,92.65,2.59,2.71,3.29,0.64,3.23,0.95
40.72981,-74.00989,2020,3,24,81.65,12.31,2.7,3.91,-1.13,11.17,1.71
40.72981,-74.00989,2020,3,25,90.29,7.36,2.94,3.26,0.49,7.85,2.46
40.72981,-74.00989,2020,3,26,81.65,15.07,2.85,5.73,-1.44,13.63,3.61
40.72981,-74.00989,2020,3,27,72.83,10.97,2.58,4.11,5.87,16.84,5.67
40.72981,-74.00989,2020,3,28,92.22,5.47,2.87,4.19,4.06,9.52,5.92
40.72981,-74.00989,2020,3,29,96.01,4.5,2.57,3.27,5.99,10.49,7.33
40.72981,-74.00989,2020,3,30,94.54,3.76,1.58,2.9,5.84,9.6,6.5
40.72981,-74.00989,2020,3,31,83.45,5.91,2.53,3.44,3.67,9.58,3.61
40.72981,-74.00989,2020,4,1,72.85,9.56,2.59,3.37,2.01,11.57,1.65
40.72981,-74.00989,2020,4,2,71.18,11.26,3.08,5.1,0.74,12,1.88
40.72981,-74.00989,2020,4,3,83.03,5.17,2.43,3.52,4.86,10.03,4.72
40.72981,-74.00989,2020,4,4,82.93,7.39,3.55,5.92,6.6,13.99,6.77
40.72981,-74.00989,2020,4,5,84.26,9.22,1.29,3.32,6.23,15.45,8.85
40.72981,-74.00989,2020,4,6,70.32,10.81,1.42,2.98,5.47,16.29,5.31
40.72981,-74.00989,2020,4,7,73.7,12.11,3.1,6,4.52,16.62,6.31
40.72981,-74.00989,2020,4,8,83.45,9.98,4.01,5.91,6.97,16.95,9.57
40.72981,-74.00989,2020,4,9,81.61,12.01,5.05,8.47,3.24,15.26,5.9
40.72981,-74.00989,2020,4,10,69.89,5.45,4.3,6.28,2.2,7.65,-0.18
40.72981,-74.00989,2020,4,11,65.82,11.16,3.1,3.64,-0.09,11.07,-0.64
40.72981,-74.00989,2020,4,12,79.84,14.9,3.37,6.48,1.26,16.16,6.12
40.72981,-74.00989,2020,4,13,89.14,10.98,7.93,10.6,8.6,19.58,12.12
40.72981,-74.00989,2020,4,14,68.93,9.42,2.98,5.65,4.34,13.77,3.06
40.72981,-74.00989,2020,4,15,65.61,7.19,2.27,2.69,2.94,10.13,0.04
40.72981,-74.00989,2020,4,16,64.81,8,2.49,1.91,-0.12,7.88,-1.69
40.72981,-74.00989,2020,4,17,72.3,10.61,2.97,4.23,-1.78,8.83,-0.77
40.72981,-74.00989,2020,4,18,84.75,8.35,2.86,4.55,-0.04,8.31,2.11
40.72981,-74.00989,2020,4,19,75.92,15.01,3.35,4.5,-1.14,13.87,3.1
40.72981,-74.00989,2020,4,20,75.07,7.14,3.75,5.59,3.2,10.35,3.23
40.72981,-74.00989,2020,4,21,83.44,11.33,3.66,6.24,2.1,13.43,4.93
40.72981,-74.00989,2020,4,22,59.62,8.98,3.44,3.64,-0.15,8.83,-3.3
40.72981,-74.00989,2020,4,23,74.26,12.3,2.16,4.86,-1.09,11.21,0.73
40.72981,-74.00989,2020,4,24,95.41,5.34,2.29,2.67,4.11,9.45,5.85
40.72981,-74.00989,2020,4,25,79.09,13.83,2.47,4.46,3.27,17.1,6.37
40.72981,-74.00989,2020,4,26,93.26,4.05,3.97,4.56,4.54,8.59,6.25
40.72981,-74.00989,2020,4,27,82.45,6.91,1.95,1.91,3.16,10.07,3.47
40.72981,-74.00989,2020,4,28,70.18,14.64,1.92,3.1,1.76,16.4,4.28
40.72981,-74.00989,2020,4,29,86.13,7.75,5.48,8.1,5.23,12.98,7.13
40.72981,-74.00989,2020,4,30,93.9,5.44,6.69,9.84,9.53,14.98,11.55
40.72981,-74.00989,2020,5,1,86.72,5.95,4.05,7.13,10.66,16.61,11.26
40.72981,-74.00989,2020,5,2,71.99,11.65,2.29,3.24,7.39,19.04,8.71
40.72981,-74.00989,2020,5,3,80.38,10.66,1.51,2.97,10.97,21.63,12.78
40.72981,-74.00989,2020,5,4,71.71,12.42,4.23,6.53,6.07,18.49,8.19
40.72981,-74.00989,2020,5,5,61.61,10.44,3.25,4.96,4.4,14.84,2.46
40.72981,-74.00989,2020,5,6,82.36,6.06,3.9,5.4,6.1,12.16,5.9
40.72981,-74.00989,2020,5,7,64.41,11.21,2.34,4.01,5.13,16.33,4.58
40.72981,-74.00989,2020,5,8,81.71,6.86,6.05,9.12,2.6,9.46,4.24
