LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
44.44651,-120.61439,2020,3,1,66.83,8.58,2.47,2.12,-4.66,3.92,-6.97
44.44651,-120.61439,2020,3,2,84.62,9.65,2.68,1.98,-3.68,5.98,-1.43
44.44651,-120.61439,2020,3,3,70.45,13.49,2.9,3.5,-0.4,13.08,-0.32
44.44651,-120.61439,2020,3,4,65.45,13.32,3.9,6.5,-2.13,11.2,-2.18
44.44651,-120.61439,2020,3,5,54.92,16.89,6.45,7.86,-0.09,16.8,-1.63
44.44651,-120.61439,2020,3,6,70.85,10.69,2.49,2.92,1.35,12.04,0.53
44.44651,-120.61439,2020,3,7,72.6,5.92,3.61,4.45,-1.84,4.07,-3.72
44.44651,-120.61439,2020,3,8,77.37,7.12,2.12,2.65,-3.79,3.33,-3.39
44.44651,-120.61439,2020,3,9,63.71,9.86,2,2.95,-2.48,7.38,-4.55
44.44651,-120.61439,2020,3,10,53.65,16.85,2.58,3.77,-3.65,13.2,-4.54
44.44651,-120.61439,2020,3,11,68.87,13.45,5,5,-3.02,10.42,-2.54
44.44651,-120.61439,2020,3,12,52.51,13.41,3.88,4.4,-3.36,10.05,-6.9
44.44651,-120.61439,2020,3,13,56.37,14.68,5.3,6.08,-3.06,11.62,-5.02
44.44651,-120.61439,2020,3,14,69.6,9.16,5.07,6.73,-6.13,3.03,-5.96
44.44651,-120.61439,2020,3,15,71.6,10.29,3.18,3.07,-6.2,4.1,-6.01
44.44651,-120.61439,2020,3,16,75.93,13.47,3.34,3.43,-4.26,9.21,-2.47
44.44651,-120.61439,2020,3,17,62.29,15.65,4.96,6.32,-3.09,12.56,-3.34
44.44651,-120.61439,2020,3,18,55.73,11.92,2.45,3.41,-2.07,9.86,-4.92
44.44651,-120.61439,2020,3,19,44.27,14.47,2.35,4.2,-1.35,13.12,-6.29
44.44651,-120.61439,2020,3,20,49.7,12.86,3.26,5.5,1.07,13.92,-3.32
44.44651,-120.61439,2020,3,21,57.03,13.78,3.4,4.85,0.01,13.78,-2.4
44.44651,-120.61439,2020,3,22,47.8,18.75,2.75,3.98,-3.25,15.5,-4.39
44.44651,-120.61439,2020,3,23,66.73,10.63,5.96,6.02,-2.94,7.7,-2.33
44.44651,-120.61439,2020,3,24,71.31,8.55,3.37,3.16,-3.75,4.79,-4.73
44.44651,-120.61439,2020,3,25,69.05,7.46,2.64,2.51,-4.69,2.76,-6.23
44.44651,-120.61439,2020,3,26,62.75,12.33,4.03,4.11,-4.93,7.4,-6.08
44.44651,-120.61439,2020,3,27,73.2,9.8,3.16,3.1,-2.95,6.85,-2.94
44.44651,-120.61439,2020,3,28,77.17,10.69,3.66,3.18,-1.39,9.3,-0.3
44.44651,-120.61439,2020,3,29,75.5,8.97,3.67,3.28,0.36,9.33,-0.07
44.44651,-120.61439,2020,3,30,78.34,7.5,6.45,7.02,0.14,7.64,0.05
44.44651,-120.61439,2020,3,31,76,8.57,6.69,7.54,-4.31,4.26,-3.25
44.44651,-120.61439,2020,4,1,76.01,7.42,2.45,2.04,-5.37,2.05,-5.55
44.44651,-120.61439,2020,4,2,66.4,10.13,3.06,3.1,-4.94,5.19,-6.21
44.44651,-120.61439,2020,4,3,63.02,11.48,5.49,6.49,-4.32,7.16,-5.94
44.44651,-120.61439,2020,4,4,82.37,8.4,4.7,5.65,-4.17,4.22,-2.32
44.44651,-120.61439,2020,4,5,79.69,9.54,3.08,2.67,-1.23,8.32,-0.21
44.44651,-120.61439,2020,4,6,73.98,15.67,2.28,3.61,-2.81,12.86,0.33
44.44651,-120.61439,2020,4,7,59.97,15.72,3.09,3.47,-0.13,15.58,-0.8
44.44651,-120.61439,2020,4,8,44.98,20.5,4.18,7.4,-0.68,19.82,-2.33
44.44651,-120.61439,2020,4,9,42.32,19.9,3.96,5.19,1.66,21.56,-1.51
44.44651,-120.61439,2020,4,10,61.35,16.16,4.88,5.04,2.98,19.14,3.74
44.44651,-120.61439,2020,4,11,57.39,12.96,5.33,4.24,0.51,13.47,-0.43
44.44651,-120.61439,2020,4,12,44.52,14.28,4.16,4.96,-2.3,11.98,-6.68
44.44651,-120.61439,2020,4,13,35.62,15.06,3.92,4.21,-3.53,11.53,-9.89
44.44651,-120.61439,2020,4,14,46.99,17.72,6.06,7.18,-1.07,16.65,-2.85
44.44651,-120.61439,2020,4,15,69.54,12.01,4.56,4.4,0.12,12.13,0.91
44.44651,-120.61439,2020,4,16,37.18,16.37,5.03,5.6,-2.38,13.99,-8.19
44.44651,-120.61439,2020,4,17,34.1,22.39,2.84,4.24,-2.78,19.6,-6.79
44.44651,-120.61439,2020,4,18,61.59,12.07,3.93,3.5,1.7,13.77,-0.19
44.44651,-120.61439,2020,4,19,53.83,15.77,2.26,5.15,1.52,17.29,-0.48
44.44651,-120.61439,2020,4,20,52.61,17.28,4.97,7.61,2.48,19.76,1.49
44.44651,-120.61439,2020,4,21,62.92,12.65,4.58,4.84,4.34,16.99,2.92
44.44651,-120.61439,2020,4,22,83.29,10.32,7.08,8.85,3.5,13.82,5.64
44.44651,-120.61439,2020,4,23,64.13,8.89,5.32,6.75,4.92,13.81,2.1
44.44651,-120.61439,2020,4,24,74.41,11.22,5.38,6.14,3.45,14.67,4.47
44.44651,-120.61439,2020,4,25,77.08,10.57,5.22,6.14,4.21,14.78,5.27
44.44651,-120.61439,2020,4,26,50.09,17.19,3.77,5.6,3,20.19,0.87
44.44651,-120.61439,2020,4,27,65.59,12.15,6.43,7.81,4.08,16.22,3.77
44.44651,-120.61439,2020,4,28,55.6,16.22,3.26,5.82,5.85,22.06,4.64
44.44651,-120.61439,2020,4,29,62.7,13.1,3.63,4.31,8.09,21.19,7.36
44.44651,-120.61439,2020,4,30,61.98,12.07,3.85,3.47,2.13,14.2,1.27
44.44651,-120.61439,2020,5,1,51.93,18.16,2.84,2.91,-0.37,17.79,-0.03
44.44651,-120.61439,2020,5,2,63.65,16.45,7.3,9.25,1.13,17.58,2.4
44.44651,-120.61439,2020,5,3,53.86,13.97,2.38,2.39,-1.36,12.61,-3.52
44.44651,-120.61439,2020,5,4,44.85,20.74,2.9,2.36,-2.29,18.46,-2.62
44.44651,-120.61439,2020,5,5,47.22,19.37,3.4,4.01,3.66,23.03,2.24
44.44651,-120.61439,2020,5,6,56.18,11.38,4.8,4.77,0.94,12.33,-1.53
44.44651,-120.61439,2020,5,7,36.92,21.21,2.19,3.27,-0.5,20.71,-4.17
44.44651,-120.61439,2020,5,8,30,21.75,1.2,4.52,2.83,24.58,-3.39
44.44651,-120.61439,2020,5,9,30.52,22.23,2.69,5.67,6.21,28.44,-0.35
44.44651,-120.61439,2020,5,10,49.98,14.48,4.13,6.07,10.24,24.72,6.63
44.44651,-120.61439,2020,5,11,54.48,12.46,4.79,5.85,8.42,20.88,5.24
44.44651,-120.61439,2020,5,12,74.38,6.57,4.39,4.93,4.63,11.19,4.18
44.44651,-120.61439,2020,5,13,66.95,8.99,2.17,1.5,3.3,12.29,1.6
44.44651,-120.61439,2020,5,14,74.97,8.59,3.76,3.31,3.59,12.18,2.66
44.44651,-120.61439,2020,5,15,49.62,16.76,2.7,4.03,1.91,18.67,-0.1
44.44651,-120.61439,2020,5,16,57.65,14.13,7.26,9.28,6,20.13,3.99
44.44651,-120.61439,2020,5,17,67.49,10.72,3.94,4.49,5.8,16.51,4.88
44.44651,-120.61439,2020,5,18,74.07,9.78,2.69,2.49,3.3,13.07,3.4
44.44651,-120.61439,2020,5,19,78.74,8.64,3.63,4.28,2.37,11.01,3.14
44.44651,-120.61439,2020,5,20,73.33,9.17,5.95,6.01,3.49,12.66,2.95
44.44651,-120.61439,2020,5,21,68.97,8.93,4.51,4.54,1.95,10.88,0.94
44.44651,-120.61439,2020,5,22,66.53,10.93,3.05,2.33,0.74,11.68,-0.11
44.44651,-120.61439,2020,5,23,49.8,14.97,4.12,4.46,1.48,16.45,-1.04
44.44651,-120.61439,2020,5,24,51.54,17.86,3.46,3.68,3.14,21,3.34
44.44651,-120.61439,2020,5,25,66.93,11.66,3.92,4.43,8.7,20.36,8.17
44.44651,-120.61439,2020,5,26,60.34,14.3,3.88,4.72,9.03,23.33,8.13
44.44651,-120.61439,2020,5,27,43.72,18.12,4.77,7.22,9.11,27.23,5.55
44.44651,-120.61439,2020,5,28,41.52,20.18,4.8,6.95,10.68,30.86,7.1
44.44651,-120.61439,2020,5,29,42.68,17,5.69,7.89,15.13,32.13,9.43
44.44651,-120.61439,2020,5,30,72.42,17.42,6.27,6.42,6.89,24.32,10.43
44.44651,-120.61439,2020,5,31,52.2,15.19,2.87,4.56,4.68,19.87,2.24
44.44651,-120.61439,2020,6,1,48.77,14.25,4.65,5.41,7.16,21.41,2.51
44.44651,-120.61439,2020,6,2,43.9,19.69,5.93,6.56,6.23,25.91,3.66
44.44651,-120.61439,2020,6,3,53.98,15.49,5.79,7.05,7.26,22.75,6.09
44.44651,-120.61439,2020,6,4,47.95,16.34,2.84,3.86,7.12,23.47,4.29
44.44651,-120.61439,2020,6,5,60.84,15.03,5.89,6.44,7,22.02,5.63
44.44651,-120.61439,2020,6,6,63.37,9.51,3.51,3.71,3.33,12.84,1.46
44.44651,-120.61439,2020,6,7,71.5,6.94,4.2,4.85,1.14,8.07,0.35
44.44651,-120.61439,2020,6,8,54.72,12.97,4.66,5.73,2.72,15.69,0.32
44.44651,-120.61439,2020,6,9,63.21,14.69,5.89,6.9,5.86,20.55,6.07
44.44651,-120.61439,2020,6,10,57.35,18.84,3.44,2.94,6.86,25.69,7.99
44.44651,-120.61439,2020,6,11,60.75,14.64,4.38,4.89,10.89,25.52,9.79
44.44651,-120.61439,2020,6,12,72.46,11.76,5,5.34,7.43,19.19,8.63
44.44651,-120.61439,2020,6,13,65.43,8.25,3.79,3.22,5.07,13.32,2.6
44.44651,-120.61439,2020,6,14,54.83,13.33,3.73,3.86,3.59,16.92,1.57
44.44651,-120.61439,2020,6,15,72.95,10.4,3.87,3.83,4.87,15.27,5.06
44.44651,-120.61439,2020,6,16,73.56,6.57,2.8,2.96,3.86,10.43,2.99
44.44651,-120.61439,2020,6,17,63.92,14.6,2.74,2.29,4.49,19.09,4.49
44.44651,-120.61439,2020,6,18,45.17,20.03,2.37,5.25,5.38,25.41,4.41
44.44651,-120.61439,2020,6,19,42.3,17.35,2.28,4.01,9.3,26.65,5.98
44.44651,-120.61439,2020,6,20,63.7,11.41,4.85,5.68,11.94,23.35,10.64
44.44651,-120.61439,2020,6,21,53.32,14.45,4.54,4.64,10.71,25.16,7.53
44.44651,-120.61439,2020,6,22,43.23,20.74,4.13,6.06,8.67,29.41,6.82
44.44651,-120.61439,2020,6,23,38.15,21.07,5.6,7.58,12.97,34.04,8.76
