LAT,LON,YEAR,MO,DY,RH2M,T2M_RANGE,WS10M_RANGE,WS50M_RANGE,T2M_MIN,T2M_MAX,T2MDEW
30.32191,-97.76279,2020,3,1,81,11.1,6.58,6.09,12.36,23.46,14.19
30.32191,-97.76279,2020,3,2,83.08,11.72,3.81,4.3,14.44,26.15,16.72
30.32191,-97.76279,2020,3,3,83.64,6.87,2.81,4.34,16.06,22.92,16.12
30.32191,-97.76279,2020,3,4,85.2,12.48,6.58,7.9,9.86,22.34,14.71
30.32191,-97.76279,2020,3,5,55.29,15.07,5.08,6.57,7.85,22.92,5.68
30.32191,-97.76279,2020,3,6,50.93,13.72,3.82,3.54,7.17,20.9,3.04
30.32191,-97.76279,2020,3,7,66.48,12.12,3.47,5,6.44,18.56,5.34
30.32191,-97.76279,2020,3,8,75.39,14.96,5.13,5.04,7.84,22.79,11.08
30.32191,-97.76279,2020,3,9,87.93,7.44,5.32,4.06,14.39,21.82,15.94
30.32191,-97.76279,2020,3,10,76.93,13.36,3.93,6.63,14.07,27.44,16.25
30.32191,-97.76279,2020,3,11,73.57,14.19,2.64,3.75,15.22,29.41,17.01
30.32191,-97.76279,2020,3,12,69.7,12.77,3.84,3.1,17.17,29.94,16.57
30.32191,-97.76279,2020,3,13,75.46,9.89,3.62,3.67,18.03,27.92,17.61
30.32191,-97.76279,2020,3,14,75.39,10.78,4.89,5.08,17.64,28.43,18.01
30.32191,-97.76279,2020,3,15,85.71,9.74,3.35,1.93,15.31,25.05,17.02
30.32191,-97.76279,2020,3,16,82.28,8.7,1.87,4.51,15.4,24.1,16.41
30.32191,-97.76279,2020,3,17,77.6,10.59,4.61,3.34,17.74,28.33,18.24
30.32191,-97.76279,2020,3,18,75.24,9.66,2.47,1.96,19.57,29.23,18.78
30.32191,-97.76279,2020,3,19,77.3,10.15,5.72,6.33,19.84,29.99,19.74
30.32191,-97.76279,2020,3,20,83.61,11.39,7.03,7.95,9.23,20.63,12.44
30.32191,-97.76279,2020,3,21,83.59,8.36,6.18,6.36,7.31,15.68,8.81
30.32191,-97.76279,2020,3,22,90.61,12.74,2.83,3.04,12.12,24.86,16.42
30.32191,-97.76279,2020,3,23,80.9,11.49,4.39,6.18,16.9,28.39,18.78
30.32191,-97.76279,2020,3,24,62.29,11.35,4.43,6.7,18.68,30.03,15.96
30.32191,-97.76279,2020,3,25,64.94,16.54,3.59,7.27,14.98,31.52,15.89
30.32191,-97.76279,2020,3,26,74.61,13.95,3.13,2.41,17.26,31.21,18.7
30.32191,-97.76279,2020,3,27,73.75,13.46,5.84,5.58,18.55,32.01,19.53
30.32191,-97.76279,2020,3,28,59.02,14.68,5.56,5.41,12.29,26.97,12.97
30.32191,-97.76279,2020,3,29,46.3,15.91,1.74,3.8,9.79,25.71,6.07
30.32191,-97.76279,2020,3,30,84.71,11.07,4.61,4.13,15.76,26.83,18.18
30.32191,-97.76279,2020,3,31,66.12,11.92,5.55,4.99,11.86,23.78,10.92
30.32191,-97.76279,2020,4,1,62.85,15.78,3.47,5.47,10.02,25.8,10.53
30.32191,-97.76279,2020,4,2,88.16,8.07,2.04,2.58,14.99,23.06,17.32
30.32191,-97.76279,2020,4,3,92.75,16.52,5.35,6.76,8.89,25.41,17.01
30.32191,-97.76279,2020,4,4,88.32,5.87,3.45,3.23,7.4,13.27,7.99
30.32191,-97.76279,2020,4,5,88.22,12.9,1.76,1.23,9.4,22.3,13.74
30.32191,-97.76279,2020,4,6,86.81,11.91,2.47,3.76,14.34,26.25,18.16
30.32191,-97.76279,2020,4,7,83.45,10.84,2.04,2.33,18.35,29.19,20.5
30.32191,-97.76279,2020,4,8,73.16,12.29,2.97,3.65,20.15,32.44,20.43
